Date,USDINR18DEC70.5CE O,USDINR18DEC70.5CE H,USDINR18DEC70.5CE L,USDINR18DEC70.5CE C,USDINR18DEC70.5CE V
11/30/2018 3:07:00 PM,0.46,0.46,0.46,0.46,0
11/30/2018 3:06:00 PM,0.4575,0.46,0.4575,0.46,5
11/30/2018 3:05:00 PM,0.46,0.46,0.455,0.4575,27
11/30/2018 3:04:00 PM,0.46,0.46,0.4575,0.46,56
11/30/2018 3:03:00 PM,0.46,0.46,0.46,0.46,1000
11/30/2018 3:02:00 PM,0.4575,0.46,0.4575,0.46,4
11/30/2018 3:01:00 PM,0.455,0.4575,0.455,0.4575,1
11/30/2018 3:00:00 PM,0.4575,0.4575,0.4525,0.455,411
11/30/2018 2:59:00 PM,0.4675,0.4675,0.4575,0.4575,59
11/30/2018 2:58:00 PM,0.4675,0.4675,0.4675,0.4675,170
11/30/2018 2:57:00 PM,0.47,0.47,0.465,0.4675,187
11/30/2018 2:56:00 PM,0.465,0.47,0.465,0.47,11
11/30/2018 2:55:00 PM,0.4675,0.4675,0.465,0.465,920
11/30/2018 2:54:00 PM,0.4675,0.4675,0.465,0.4675,359
11/30/2018 2:53:00 PM,0.4625,0.47,0.46,0.4675,1057
11/30/2018 2:52:00 PM,0.455,0.4625,0.455,0.4625,99
11/30/2018 2:51:00 PM,0.46,0.46,0.455,0.455,340
11/30/2018 2:50:00 PM,0.46,0.46,0.46,0.46,0
11/30/2018 2:49:00 PM,0.46,0.465,0.46,0.46,185
11/30/2018 2:48:00 PM,0.4575,0.4675,0.4575,0.46,1606
11/30/2018 2:47:00 PM,0.4425,0.4575,0.4425,0.4575,1021
11/30/2018 2:46:00 PM,0.435,0.4425,0.435,0.4425,38
11/30/2018 2:45:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 2:44:00 PM,0.435,0.435,0.435,0.435,35
11/30/2018 2:43:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 2:42:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 2:41:00 PM,0.435,0.4375,0.435,0.435,17
11/30/2018 2:40:00 PM,0.4325,0.435,0.4325,0.435,25
