Date,ZINC18NOVFUT O,ZINC18NOVFUT H,ZINC18NOVFUT L,ZINC18NOVFUT C,ZINC18NOVFUT V
11/29/2018 9:02:00 PM,179.45,179.6,179.45,179.55,62
11/29/2018 9:01:00 PM,179.4,179.55,179.25,179.55,127
11/29/2018 9:00:00 PM,179.1,179.45,178.9,179.4,111
11/29/2018 8:59:00 PM,179.15,179.2,179.1,179.1,13
11/29/2018 8:58:00 PM,179.15,179.25,179.15,179.15,17
11/29/2018 8:57:00 PM,179.2,179.2,179.1,179.15,10
11/29/2018 8:56:00 PM,179.15,179.25,179.15,179.2,23
11/29/2018 8:55:00 PM,179.15,179.2,179.15,179.15,21
11/29/2018 8:54:00 PM,179.2,179.2,179.15,179.15,24
11/29/2018 8:53:00 PM,179.25,179.25,179.1,179.15,9
11/29/2018 8:52:00 PM,179.15,179.25,179.15,179.2,26
11/29/2018 8:51:00 PM,179.1,179.2,179.1,179.15,17
11/29/2018 8:50:00 PM,178.9,179.15,178.9,179.1,50
11/29/2018 8:49:00 PM,178.8,178.9,178.75,178.9,21
11/29/2018 8:48:00 PM,178.8,178.85,178.8,178.8,4
11/29/2018 8:47:00 PM,178.8,178.8,178.8,178.8,7
11/29/2018 8:46:00 PM,178.75,178.8,178.75,178.8,11
11/29/2018 8:45:00 PM,178.95,178.95,178.75,178.75,20
11/29/2018 8:44:00 PM,179,179,178.95,178.95,8
11/29/2018 8:43:00 PM,178.95,179,178.9,179,3
11/29/2018 8:42:00 PM,179,179.05,178.95,178.95,13
11/29/2018 8:41:00 PM,178.95,179,178.95,179,10
11/29/2018 8:40:00 PM,179,179,178.9,178.9,26
11/29/2018 8:39:00 PM,178.85,179,178.8,179,23
11/29/2018 8:38:00 PM,178.85,178.9,178.75,178.9,26
11/29/2018 8:37:00 PM,178.75,178.9,178.75,178.85,68
11/29/2018 8:36:00 PM,179.1,179.1,178.85,178.85,50
11/29/2018 8:35:00 PM,179.3,179.3,179.1,179.1,51
11/29/2018 8:34:00 PM,179.2,179.35,179.2,179.3,56
11/29/2018 8:33:00 PM,179.05,179.2,178.95,179.2,51
