Date,HDFCBANK18DECFUT O,HDFCBANK18DECFUT H,HDFCBANK18DECFUT L,HDFCBANK18DECFUT C,HDFCBANK18DECFUT V
11/29/2018 11:22:00 AM,2102.45,2102.8,2102.1,2102.2,19750
11/29/2018 11:21:00 AM,2102.55,2102.65,2102.25,2102.4,8000
11/29/2018 11:20:00 AM,2102.45,2102.8,2102.35,2102.55,9750
11/29/2018 11:19:00 AM,2102.2,2102.75,2101.9,2102.45,11500
11/29/2018 11:18:00 AM,2102.15,2102.2,2101.8,2102.2,11750
11/29/2018 11:17:00 AM,2102.15,2102.35,2102.1,2102.15,7250
11/29/2018 11:16:00 AM,2102.15,2103,2102,2102.25,14750
11/29/2018 11:15:00 AM,2102.1,2102.25,2102,2102.15,3250
11/29/2018 11:14:00 AM,2101.75,2102.15,2101.65,2102.1,13250
11/29/2018 11:13:00 AM,2101.95,2102,2101.75,2101.75,17750
11/29/2018 11:12:00 AM,2102,2102.2,2101.9,2101.95,8000
11/29/2018 11:11:00 AM,2102,2102.2,2101.85,2102,5250
11/29/2018 11:10:00 AM,2102.25,2102.25,2101.85,2102,21250
11/29/2018 11:09:00 AM,2101.9,2102.25,2101.4,2102.25,13250
11/29/2018 11:08:00 AM,2101.8,2101.9,2101.75,2101.9,12000
11/29/2018 11:07:00 AM,2101.8,2101.95,2101.6,2101.7,10250
11/29/2018 11:06:00 AM,2102.15,2102.15,2101.75,2101.95,13250
11/29/2018 11:05:00 AM,2102.4,2102.75,2102.05,2102.15,6500
11/29/2018 11:04:00 AM,2102,2102.4,2101.8,2102.4,16250
11/29/2018 11:03:00 AM,2102.55,2102.85,2102,2102,13750
11/29/2018 11:02:00 AM,2102.85,2102.95,2102.4,2102.65,15500
11/29/2018 11:01:00 AM,2103.05,2103.25,2102.8,2102.85,15750
11/29/2018 11:00:00 AM,2103,2103.35,2103,2103.05,15500
11/29/2018 10:59:00 AM,2102.65,2103.1,2102.65,2103,16250
11/29/2018 10:58:00 AM,2102.55,2102.7,2102.3,2102.65,7750
11/29/2018 10:57:00 AM,2102.3,2102.65,2102.2,2102.6,6250
11/29/2018 10:56:00 AM,2102.5,2102.95,2102.15,2102.3,12000
11/29/2018 10:55:00 AM,2102.3,2102.8,2102.25,2102.5,8000
11/29/2018 10:54:00 AM,2102.85,2102.85,2102.3,2102.3,10000
11/29/2018 10:53:00 AM,2102.75,2102.85,2102.55,2102.85,8500
11/29/2018 10:52:00 AM,2102.85,2103,2102.5,2102.9,6750
11/29/2018 10:51:00 AM,2102.85,2103.05,2102.6,2102.7,9750
11/29/2018 10:50:00 AM,2103,2103.15,2102.65,2102.85,20750
11/29/2018 10:49:00 AM,2104,2104,2103,2103,10750
11/29/2018 10:48:00 AM,2104.7,2105.15,2104.05,2104.5,31750
11/29/2018 10:47:00 AM,2104.75,2106,2104.65,2104.7,67750
11/29/2018 10:46:00 AM,2103.6,2104.45,2103.25,2104.45,32000
11/29/2018 10:45:00 AM,2102.45,2103.6,2102.4,2103.6,8250
11/29/2018 10:44:00 AM,2102.6,2102.6,2102.2,2102.45,7250
11/29/2018 10:43:00 AM,2102.3,2102.65,2102.25,2102.6,2750
11/29/2018 10:42:00 AM,2102.75,2102.75,2102.3,2102.3,1250
11/29/2018 10:41:00 AM,2102.85,2103.05,2102.45,2102.75,7250
11/29/2018 10:40:00 AM,2101.95,2102.95,2101.95,2102.85,14500
11/29/2018 10:39:00 AM,2102,2102.6,2101.95,2101.95,8000
11/29/2018 10:38:00 AM,2102.15,2102.45,2101.95,2102,29000
11/29/2018 10:37:00 AM,2102.45,2102.6,2102.15,2102.15,4500
11/29/2018 10:36:00 AM,2103.45,2103.45,2102.45,2102.45,3500
11/29/2018 10:35:00 AM,2103.35,2103.45,2103.15,2103.45,3500
11/29/2018 10:34:00 AM,2103,2103.55,2103,2103.35,3250
11/29/2018 10:33:00 AM,2102.15,2103.25,2102.15,2103.15,8000
