Date,INDUSINDBK18DECFUT O,INDUSINDBK18DECFUT H,INDUSINDBK18DECFUT L,INDUSINDBK18DECFUT C,INDUSINDBK18DECFUT V
11/29/2018 12:33:00 PM,1648.45,1648.85,1648.45,1648.85,1500
11/29/2018 12:32:00 PM,1647.85,1649.05,1647.85,1648.45,6000
11/29/2018 12:31:00 PM,1648.4,1648.4,1647.85,1647.85,1800
11/29/2018 12:30:00 PM,1648.3,1648.55,1648.3,1648.4,15600
11/29/2018 12:29:00 PM,1648.4,1648.4,1647.75,1648.3,14100
11/29/2018 12:28:00 PM,1648,1648.55,1647.8,1648.4,4800
11/29/2018 12:27:00 PM,1648.5,1648.85,1648.4,1648.4,37800
11/29/2018 12:26:00 PM,1649.5,1649.65,1648.5,1648.5,15000
11/29/2018 12:25:00 PM,1648.9,1649.5,1648.75,1649.5,5100
11/29/2018 12:24:00 PM,1649,1649,1648.9,1648.9,1200
11/29/2018 12:23:00 PM,1648.8,1649.05,1648.8,1649,2400
11/29/2018 12:22:00 PM,1649.1,1649.35,1648.75,1648.8,4500
11/29/2018 12:21:00 PM,1649.05,1649.6,1648.9,1649.1,26100
11/29/2018 12:20:00 PM,1650.35,1650.35,1649.05,1649.05,6000
11/29/2018 12:19:00 PM,1650.8,1650.8,1650.25,1650.35,6000
11/29/2018 12:18:00 PM,1652.05,1652.05,1650.8,1650.8,2400
11/29/2018 12:17:00 PM,1651.85,1652.25,1651.85,1652.05,24900
11/29/2018 12:16:00 PM,1651.4,1651.85,1651.4,1651.85,900
11/29/2018 12:15:00 PM,1651.1,1651.75,1651.1,1651.4,2400
11/29/2018 12:14:00 PM,1650.8,1651.25,1650.8,1651.1,1800
11/29/2018 12:13:00 PM,1650.45,1650.8,1650.45,1650.8,2100
11/29/2018 12:12:00 PM,1649.95,1650.45,1649.95,1650.45,900
11/29/2018 12:11:00 PM,1649.7,1649.95,1649.2,1649.95,5100
11/29/2018 12:10:00 PM,1649.1,1650.05,1649.1,1649.7,2100
11/29/2018 12:09:00 PM,1649.1,1649.1,1649.1,1649.1,0
11/29/2018 12:08:00 PM,1649.75,1650.05,1649.1,1649.1,3900
11/29/2018 12:07:00 PM,1650,1650,1649.75,1649.75,77100
11/29/2018 12:06:00 PM,1650.1,1650.25,1650,1650,900
11/29/2018 12:05:00 PM,1650,1650.1,1650,1650.1,600
11/29/2018 12:04:00 PM,1650.9,1650.9,1649.85,1650,7800
11/29/2018 12:03:00 PM,1650.9,1650.9,1650.9,1650.9,2400
11/29/2018 12:02:00 PM,1651.4,1651.4,1650.9,1650.9,600
11/29/2018 12:01:00 PM,1651.4,1651.4,1651.1,1651.4,2400
11/29/2018 12:00:00 PM,1650.65,1651.4,1650.4,1651.4,5400
11/29/2018 11:59:00 AM,1652.3,1652.3,1650.75,1650.75,2700
11/29/2018 11:58:00 AM,1648.45,1652,1648.15,1651.95,14400
11/29/2018 11:57:00 AM,1648.15,1648.45,1648.15,1648.45,3600
11/29/2018 11:56:00 AM,1647.95,1648.7,1647.95,1648.15,2700
11/29/2018 11:55:00 AM,1648.65,1648.7,1647.95,1647.95,3600
