Date,PNB18DECFUT O,PNB18DECFUT H,PNB18DECFUT L,PNB18DECFUT C,PNB18DECFUT V
11/29/2018 2:17:00 PM,70.05,70.1,70.05,70.1,170500
11/29/2018 2:16:00 PM,70.1,70.1,70.05,70.05,258500
11/29/2018 2:15:00 PM,69.95,70.1,69.85,70.1,192500
11/29/2018 2:14:00 PM,70,70,69.9,69.95,55000
11/29/2018 2:13:00 PM,70,70.05,69.9,70,159500
11/29/2018 2:12:00 PM,70,70.05,70,70,49500
11/29/2018 2:11:00 PM,70.1,70.1,70,70,121000
11/29/2018 2:10:00 PM,69.95,70.1,69.95,70.1,236500
11/29/2018 2:09:00 PM,69.9,70.05,69.9,69.95,71500
11/29/2018 2:08:00 PM,70.05,70.05,69.9,69.9,99000
11/29/2018 2:07:00 PM,70.05,70.05,70,70,77000
11/29/2018 2:06:00 PM,69.95,70.05,69.9,70.05,198000
11/29/2018 2:05:00 PM,69.9,69.95,69.9,69.95,60500
11/29/2018 2:04:00 PM,69.95,70,69.85,69.9,187000
11/29/2018 2:03:00 PM,69.85,69.95,69.85,69.95,93500
11/29/2018 2:02:00 PM,69.9,69.9,69.85,69.85,220000
11/29/2018 2:01:00 PM,69.75,69.85,69.75,69.85,104500
11/29/2018 2:00:00 PM,69.75,69.8,69.75,69.75,242000
11/29/2018 1:59:00 PM,69.7,69.75,69.7,69.75,176000
11/29/2018 1:58:00 PM,69.65,69.7,69.65,69.7,71500
11/29/2018 1:57:00 PM,69.75,69.8,69.7,69.7,192500
11/29/2018 1:56:00 PM,69.55,69.75,69.55,69.75,330000
11/29/2018 1:55:00 PM,69.7,69.7,69.55,69.55,115500
11/29/2018 1:54:00 PM,69.65,69.7,69.65,69.7,22000
11/29/2018 1:53:00 PM,69.65,69.65,69.55,69.65,22000
11/29/2018 1:52:00 PM,69.65,69.7,69.6,69.65,71500
11/29/2018 1:51:00 PM,69.7,69.7,69.55,69.65,269500
11/29/2018 1:50:00 PM,69.65,69.7,69.65,69.7,38500
11/29/2018 1:49:00 PM,69.55,69.7,69.55,69.65,110000
11/29/2018 1:48:00 PM,69.55,69.55,69.55,69.55,132000
11/29/2018 1:47:00 PM,69.6,69.6,69.5,69.55,412500
11/29/2018 1:46:00 PM,69.65,69.65,69.6,69.6,126500
11/29/2018 1:45:00 PM,69.6,69.7,69.6,69.7,60500
11/29/2018 1:44:00 PM,69.7,69.7,69.55,69.65,220000
11/29/2018 1:43:00 PM,69.7,69.75,69.6,69.7,434500
11/29/2018 1:42:00 PM,69.9,69.9,69.7,69.75,269500
11/29/2018 1:41:00 PM,69.9,69.9,69.85,69.85,137500
11/29/2018 1:40:00 PM,69.95,70,69.85,69.9,198000
11/29/2018 1:39:00 PM,70,70,69.95,69.95,137500
11/29/2018 1:38:00 PM,70.1,70.1,70,70,214500
11/29/2018 1:37:00 PM,70.05,70.1,70.05,70.1,38500
11/29/2018 1:36:00 PM,70.15,70.15,70.1,70.1,77000
11/29/2018 1:35:00 PM,70.2,70.2,70.2,70.2,60500
11/29/2018 1:34:00 PM,70.15,70.2,70.15,70.2,181500
11/29/2018 1:33:00 PM,70.2,70.2,70.15,70.15,539000
11/29/2018 1:32:00 PM,70.25,70.25,70.1,70.2,60500
11/29/2018 1:31:00 PM,70.2,70.25,70.15,70.25,66000
11/29/2018 1:30:00 PM,70.15,70.2,70.1,70.2,93500
11/29/2018 1:29:00 PM,70.2,70.25,70.15,70.15,110000
11/29/2018 1:28:00 PM,70.15,70.2,70.15,70.2,38500
11/29/2018 1:27:00 PM,70.15,70.2,70.1,70.15,143000
11/29/2018 1:26:00 PM,70.3,70.3,70.15,70.15,187000
11/29/2018 1:25:00 PM,70.3,70.35,70.3,70.3,77000
11/29/2018 1:24:00 PM,70.3,70.35,70.3,70.3,38500
11/29/2018 1:23:00 PM,70.4,70.4,70.3,70.3,22000
11/29/2018 1:22:00 PM,70.45,70.45,70.4,70.4,82500
11/29/2018 1:21:00 PM,70.4,70.45,70.4,70.45,93500
11/29/2018 1:20:00 PM,70.35,70.45,70.35,70.45,209000
11/29/2018 1:19:00 PM,70.3,70.3,70.25,70.25,159500
11/29/2018 1:18:00 PM,70.35,70.35,70.3,70.3,22000
11/29/2018 1:17:00 PM,70.35,70.4,70.35,70.35,33000
11/29/2018 1:16:00 PM,70.35,70.4,70.35,70.35,55000
11/29/2018 1:15:00 PM,70.3,70.4,70.3,70.35,49500
11/29/2018 1:14:00 PM,70.4,70.4,70.3,70.3,88000
11/29/2018 1:13:00 PM,70.35,70.4,70.35,70.35,71500
11/29/2018 1:12:00 PM,70.45,70.45,70.35,70.35,280500
11/29/2018 1:11:00 PM,70.4,70.45,70.35,70.45,126500
11/29/2018 1:10:00 PM,70.35,70.45,70.35,70.4,82500
11/29/2018 1:09:00 PM,70.4,70.4,70.3,70.35,335500
11/29/2018 1:08:00 PM,70.4,70.4,70.35,70.4,225500
11/29/2018 1:07:00 PM,70.3,70.4,70.25,70.4,220000
11/29/2018 1:06:00 PM,70.25,70.35,70.25,70.3,132000
11/29/2018 1:05:00 PM,70.5,70.5,70.25,70.25,258500
11/29/2018 1:04:00 PM,70.35,70.5,70.3,70.5,165000
11/29/2018 1:03:00 PM,70.25,70.35,70.2,70.35,198000
11/29/2018 1:02:00 PM,70.05,70.3,70.05,70.2,198000
11/29/2018 1:01:00 PM,69.95,70.05,69.95,70.05,214500
11/29/2018 1:00:00 PM,69.95,70,69.95,69.95,88000
11/29/2018 12:59:00 PM,69.95,69.95,69.9,69.95,55000
11/29/2018 12:58:00 PM,69.85,69.9,69.85,69.9,60500
11/29/2018 12:57:00 PM,69.85,69.85,69.85,69.85,132000
11/29/2018 12:56:00 PM,69.85,69.85,69.85,69.85,137500
11/29/2018 12:55:00 PM,69.9,69.95,69.85,69.85,187000
11/29/2018 12:54:00 PM,69.7,69.95,69.7,69.9,236500
11/29/2018 12:53:00 PM,69.7,69.7,69.65,69.7,55000
11/29/2018 12:52:00 PM,69.75,69.75,69.65,69.65,137500
11/29/2018 12:51:00 PM,69.6,69.75,69.6,69.7,830500
11/29/2018 12:50:00 PM,69.55,69.6,69.55,69.6,429000
11/29/2018 12:49:00 PM,69.55,69.55,69.55,69.55,44000
11/29/2018 12:48:00 PM,69.5,69.6,69.5,69.55,159500
11/29/2018 12:47:00 PM,69.45,69.5,69.45,69.5,27500
11/29/2018 12:46:00 PM,69.4,69.45,69.4,69.45,44000
11/29/2018 12:45:00 PM,69.45,69.45,69.4,69.4,82500
11/29/2018 12:44:00 PM,69.4,69.45,69.4,69.45,231000
11/29/2018 12:43:00 PM,69.4,69.45,69.4,69.4,27500
11/29/2018 12:42:00 PM,69.4,69.4,69.35,69.4,44000
11/29/2018 12:41:00 PM,69.4,69.5,69.4,69.45,181500
11/29/2018 12:40:00 PM,69.35,69.45,69.35,69.4,104500
11/29/2018 12:39:00 PM,69.35,69.4,69.35,69.35,33000
11/29/2018 12:38:00 PM,69.4,69.4,69.35,69.35,16500
11/29/2018 12:37:00 PM,69.4,69.4,69.35,69.4,77000
11/29/2018 12:36:00 PM,69.4,69.4,69.35,69.4,132000
11/29/2018 12:35:00 PM,69.4,69.4,69.3,69.4,99000
11/29/2018 12:34:00 PM,69.45,69.45,69.35,69.35,110000
11/29/2018 12:33:00 PM,69.55,69.55,69.45,69.45,38500
11/29/2018 12:32:00 PM,69.55,69.55,69.5,69.5,82500
11/29/2018 12:31:00 PM,69.45,69.55,69.45,69.55,38500
11/29/2018 12:30:00 PM,69.6,69.6,69.6,69.6,22000
11/29/2018 12:29:00 PM,69.55,69.6,69.55,69.6,60500
11/29/2018 12:28:00 PM,69.55,69.55,69.5,69.55,33000
11/29/2018 12:27:00 PM,69.55,69.6,69.55,69.55,33000
11/29/2018 12:26:00 PM,69.6,69.6,69.55,69.55,49500
11/29/2018 12:25:00 PM,69.65,69.65,69.6,69.6,104500
11/29/2018 12:24:00 PM,69.55,69.65,69.55,69.65,82500
11/29/2018 12:23:00 PM,69.55,69.65,69.55,69.55,159500
11/29/2018 12:22:00 PM,69.65,69.65,69.55,69.55,16500
11/29/2018 12:21:00 PM,69.6,69.65,69.55,69.65,99000
11/29/2018 12:20:00 PM,69.55,69.6,69.55,69.55,258500
11/29/2018 12:19:00 PM,69.6,69.6,69.55,69.55,187000
11/29/2018 12:18:00 PM,69.55,69.6,69.55,69.6,71500
11/29/2018 12:17:00 PM,69.55,69.55,69.55,69.55,110000
11/29/2018 12:16:00 PM,69.45,69.55,69.45,69.55,132000
11/29/2018 12:15:00 PM,69.5,69.5,69.45,69.45,11000
11/29/2018 12:14:00 PM,69.45,69.5,69.45,69.5,16500
11/29/2018 12:13:00 PM,69.4,69.45,69.4,69.45,99000
11/29/2018 12:12:00 PM,69.3,69.45,69.3,69.45,22000
11/29/2018 12:11:00 PM,69.3,69.3,69.3,69.3,27500
11/29/2018 12:10:00 PM,69.35,69.35,69.3,69.3,38500
11/29/2018 12:09:00 PM,69.35,69.35,69.35,69.35,33000
11/29/2018 12:08:00 PM,69.35,69.35,69.3,69.35,60500
11/29/2018 12:07:00 PM,69.45,69.45,69.35,69.35,44000
11/29/2018 12:06:00 PM,69.4,69.45,69.3,69.45,132000
11/29/2018 12:05:00 PM,69.3,69.4,69.25,69.4,148500
11/29/2018 12:04:00 PM,69.25,69.3,69.25,69.3,5500
11/29/2018 12:03:00 PM,69.25,69.25,69.2,69.25,55000
11/29/2018 12:02:00 PM,69.25,69.3,69.2,69.3,192500
11/29/2018 12:01:00 PM,69.2,69.25,69.15,69.2,154000
11/29/2018 12:00:00 PM,69.35,69.35,69.2,69.2,143000
11/29/2018 11:59:00 AM,69.35,69.35,69.35,69.35,11000
11/29/2018 11:58:00 AM,69.3,69.35,69.3,69.35,126500
11/29/2018 11:57:00 AM,69.4,69.4,69.3,69.3,143000
11/29/2018 11:56:00 AM,69.4,69.45,69.35,69.4,121000
11/29/2018 11:55:00 AM,69.35,69.4,69.35,69.4,93500
11/29/2018 11:54:00 AM,69.4,69.4,69.3,69.35,115500
11/29/2018 11:53:00 AM,69.4,69.4,69.35,69.35,137500
11/29/2018 11:52:00 AM,69.45,69.5,69.45,69.45,121000
11/29/2018 11:51:00 AM,69.45,69.5,69.4,69.45,170500
11/29/2018 11:50:00 AM,69.45,69.45,69.45,69.45,60500
11/29/2018 11:49:00 AM,69.45,69.45,69.4,69.45,49500
11/29/2018 11:48:00 AM,69.45,69.45,69.4,69.45,93500
11/29/2018 11:47:00 AM,69.45,69.45,69.4,69.4,60500
11/29/2018 11:46:00 AM,69.45,69.5,69.4,69.45,115500
11/29/2018 11:45:00 AM,69.55,69.55,69.5,69.5,115500
11/29/2018 11:44:00 AM,69.5,69.5,69.4,69.45,77000
11/29/2018 11:43:00 AM,69.45,69.5,69.4,69.5,88000
11/29/2018 11:42:00 AM,69.45,69.5,69.45,69.45,539000
11/29/2018 11:41:00 AM,69.45,69.5,69.45,69.45,104500
11/29/2018 11:40:00 AM,69.5,69.5,69.45,69.45,77000
11/29/2018 11:39:00 AM,69.55,69.55,69.45,69.5,49500
11/29/2018 11:38:00 AM,69.55,69.55,69.5,69.55,60500
11/29/2018 11:37:00 AM,69.5,69.6,69.5,69.6,148500
11/29/2018 11:36:00 AM,69.55,69.55,69.5,69.55,33000
11/29/2018 11:35:00 AM,69.65,69.65,69.55,69.55,88000
11/29/2018 11:34:00 AM,69.6,69.6,69.55,69.55,44000
11/29/2018 11:33:00 AM,69.6,69.6,69.55,69.6,33000
11/29/2018 11:32:00 AM,69.6,69.6,69.6,69.6,27500
11/29/2018 11:31:00 AM,69.6,69.6,69.6,69.6,126500
11/29/2018 11:30:00 AM,69.55,69.6,69.55,69.6,258500
11/29/2018 11:29:00 AM,69.55,69.55,69.55,69.55,27500
11/29/2018 11:28:00 AM,69.55,69.55,69.5,69.5,66000
11/29/2018 11:27:00 AM,69.6,69.6,69.5,69.5,49500
11/29/2018 11:26:00 AM,69.55,69.55,69.55,69.55,16500
11/29/2018 11:25:00 AM,69.55,69.55,69.55,69.55,44000
11/29/2018 11:24:00 AM,69.55,69.55,69.55,69.55,44000
11/29/2018 11:23:00 AM,69.6,69.6,69.55,69.55,71500
11/29/2018 11:22:00 AM,69.6,69.6,69.6,69.6,11000
11/29/2018 11:21:00 AM,69.6,69.6,69.55,69.55,27500
11/29/2018 11:20:00 AM,69.6,69.6,69.55,69.6,478500
11/29/2018 11:19:00 AM,69.6,69.6,69.6,69.6,77000
11/29/2018 11:18:00 AM,69.6,69.6,69.55,69.55,99000
11/29/2018 11:17:00 AM,69.55,69.6,69.55,69.6,11000
11/29/2018 11:16:00 AM,69.55,69.6,69.55,69.6,77000
