Date,FEDERALBNK-EQ O,FEDERALBNK-EQ H,FEDERALBNK-EQ L,FEDERALBNK-EQ C,FEDERALBNK-EQ V
10/11/2018 10:47:00 AM,72,72.15,72,72.05,51364
10/11/2018 10:46:00 AM,72.05,72.05,71.95,72.05,9993
10/11/2018 10:45:00 AM,72.1,72.1,72,72.05,4763
10/11/2018 10:44:00 AM,72,72.1,71.95,72.1,6883
10/11/2018 10:43:00 AM,72.1,72.1,71.95,72,19630
10/11/2018 10:42:00 AM,72.1,72.15,72,72.1,16677
10/11/2018 10:41:00 AM,72.1,72.1,72,72.1,6186
10/11/2018 10:40:00 AM,72.1,72.1,71.95,72.1,16897
10/11/2018 10:39:00 AM,72.05,72.1,72,72.1,13966
10/11/2018 10:38:00 AM,72,72.1,72,72.05,9577
10/11/2018 10:37:00 AM,72.1,72.15,72,72,12958
10/11/2018 10:36:00 AM,72,72.15,72,72.1,16268
10/11/2018 10:35:00 AM,71.95,72.05,71.9,72.05,64814
10/11/2018 10:34:00 AM,71.95,71.95,71.9,71.95,5168
10/11/2018 10:33:00 AM,72,72,71.9,71.95,15779
10/11/2018 10:32:00 AM,71.75,72,71.75,72,20471
10/11/2018 10:31:00 AM,71.8,71.8,71.75,71.8,7052
10/11/2018 10:30:00 AM,71.8,71.85,71.8,71.8,4944
10/11/2018 10:29:00 AM,71.9,71.9,71.75,71.8,14866
10/11/2018 10:28:00 AM,71.85,71.9,71.8,71.9,5946
10/11/2018 10:27:00 AM,71.8,71.9,71.8,71.9,13895
10/11/2018 10:26:00 AM,71.85,71.85,71.7,71.8,9130
10/11/2018 10:25:00 AM,71.8,71.85,71.75,71.8,7750
10/11/2018 10:24:00 AM,71.85,71.85,71.75,71.75,7716
10/11/2018 10:23:00 AM,71.85,71.9,71.75,71.85,38901
10/11/2018 10:22:00 AM,71.9,71.9,71.8,71.85,4571
10/11/2018 10:21:00 AM,71.9,71.9,71.8,71.9,8308
10/11/2018 10:20:00 AM,71.85,71.9,71.8,71.9,7151
10/11/2018 10:19:00 AM,71.85,71.95,71.8,71.85,82033
10/11/2018 10:18:00 AM,71.65,71.85,71.65,71.8,55412
10/11/2018 10:17:00 AM,71.6,71.65,71.55,71.65,5634
10/11/2018 10:16:00 AM,71.5,71.65,71.5,71.6,18931
10/11/2018 10:15:00 AM,71.3,71.5,71.25,71.5,34889
10/11/2018 10:14:00 AM,71.3,71.4,71.3,71.3,11224
10/11/2018 10:13:00 AM,71.1,71.3,71.05,71.3,39652
10/11/2018 10:12:00 AM,71.1,71.25,71,71.1,56069
10/11/2018 10:11:00 AM,71,71.1,71,71.1,46076
10/11/2018 10:10:00 AM,71.35,71.35,70.9,71,130866
10/11/2018 10:09:00 AM,71.7,71.7,71.25,71.35,72129
10/11/2018 10:08:00 AM,71.75,71.75,71.7,71.7,8331
10/11/2018 10:07:00 AM,71.7,71.8,71.6,71.7,10196
10/11/2018 10:06:00 AM,71.7,71.8,71.65,71.8,8021
10/11/2018 10:05:00 AM,71.65,71.7,71.55,71.7,21504
10/11/2018 10:04:00 AM,71.75,71.8,71.6,71.65,20496
10/11/2018 10:03:00 AM,71.8,71.9,71.8,71.85,15253
10/11/2018 10:02:00 AM,71.65,71.85,71.65,71.85,44904
10/11/2018 10:01:00 AM,71.7,71.8,71.65,71.65,46572
10/11/2018 10:00:00 AM,71.6,71.75,71.55,71.7,29055
