Date,FEDERALBNK18DECFUT O,FEDERALBNK18DECFUT H,FEDERALBNK18DECFUT L,FEDERALBNK18DECFUT C,FEDERALBNK18DECFUT V
11/29/2018 2:53:00 PM,84.5,84.5,84.5,84.5,49500
11/29/2018 2:52:00 PM,84.45,84.45,84.45,84.45,247500
11/29/2018 2:51:00 PM,84.4,84.5,84.4,84.5,99000
11/29/2018 2:50:00 PM,84.4,84.4,84.35,84.4,110000
11/29/2018 2:49:00 PM,84.4,84.45,84.4,84.4,77000
11/29/2018 2:48:00 PM,84.45,84.45,84.4,84.4,16500
11/29/2018 2:47:00 PM,84.4,84.45,84.4,84.45,60500
11/29/2018 2:46:00 PM,84.4,84.4,84.4,84.4,44000
11/29/2018 2:45:00 PM,84.5,84.5,84.5,84.5,22000
11/29/2018 2:44:00 PM,84.45,84.45,84.45,84.45,66000
11/29/2018 2:43:00 PM,84.45,84.45,84.45,84.45,38500
11/29/2018 2:42:00 PM,84.4,84.5,84.35,84.5,66000
11/29/2018 2:41:00 PM,84.45,84.45,84.45,84.45,0
11/29/2018 2:40:00 PM,84.45,84.45,84.45,84.45,33000
11/29/2018 2:39:00 PM,84.65,84.65,84.35,84.35,165000
11/29/2018 2:38:00 PM,84.55,84.65,84.55,84.65,49500
11/29/2018 2:37:00 PM,84.55,84.6,84.55,84.55,77000
11/29/2018 2:36:00 PM,84.45,84.5,84.45,84.5,55000
11/29/2018 2:35:00 PM,84.35,84.4,84.35,84.4,49500
11/29/2018 2:34:00 PM,84.25,84.35,84.25,84.35,236500
11/29/2018 2:33:00 PM,84.35,84.35,84.25,84.25,148500
11/29/2018 2:32:00 PM,84.55,84.55,84.45,84.45,242000
11/29/2018 2:31:00 PM,84.55,84.6,84.55,84.6,33000
11/29/2018 2:30:00 PM,84.65,84.65,84.55,84.55,60500
11/29/2018 2:29:00 PM,84.65,84.65,84.55,84.6,55000
11/29/2018 2:28:00 PM,84.6,84.65,84.6,84.65,77000
11/29/2018 2:27:00 PM,84.7,84.7,84.65,84.65,154000
11/29/2018 2:26:00 PM,84.75,84.8,84.75,84.75,60500
11/29/2018 2:25:00 PM,84.8,84.8,84.8,84.8,33000
11/29/2018 2:24:00 PM,84.95,84.95,84.8,84.8,44000
11/29/2018 2:23:00 PM,84.9,85,84.9,84.95,66000
11/29/2018 2:22:00 PM,84.95,84.95,84.9,84.9,22000
11/29/2018 2:21:00 PM,84.95,85,84.9,84.95,132000
11/29/2018 2:20:00 PM,85,85,84.95,85,71500
11/29/2018 2:19:00 PM,84.9,85.05,84.85,85,418000
11/29/2018 2:18:00 PM,84.9,84.95,84.9,84.9,44000
11/29/2018 2:17:00 PM,84.95,84.95,84.9,84.9,66000
11/29/2018 2:16:00 PM,84.85,85,84.8,84.95,99000
11/29/2018 2:15:00 PM,84.85,84.85,84.8,84.85,181500
11/29/2018 2:14:00 PM,84.8,84.9,84.75,84.85,368500
11/29/2018 2:13:00 PM,84.85,84.85,84.75,84.75,181500
11/29/2018 2:12:00 PM,85,85,84.9,84.95,286000
11/29/2018 2:11:00 PM,85.05,85.05,85,85.05,231000
11/29/2018 2:10:00 PM,85,85.05,85,85.05,27500
11/29/2018 2:09:00 PM,84.85,85,84.85,85,44000
11/29/2018 2:08:00 PM,84.9,84.95,84.85,84.85,313500
11/29/2018 2:07:00 PM,84.9,84.9,84.9,84.9,38500
11/29/2018 2:06:00 PM,84.85,84.85,84.8,84.8,38500
11/29/2018 2:05:00 PM,84.8,84.85,84.8,84.85,55000
11/29/2018 2:04:00 PM,84.8,84.8,84.8,84.8,93500
11/29/2018 2:03:00 PM,84.85,84.9,84.85,84.9,88000
11/29/2018 2:02:00 PM,84.85,84.85,84.85,84.85,66000
11/29/2018 2:01:00 PM,85,85,84.85,84.9,154000
11/29/2018 2:00:00 PM,84.65,84.85,84.65,84.85,99000
11/29/2018 1:59:00 PM,84.75,84.75,84.65,84.65,60500
11/29/2018 1:58:00 PM,85,85,84.75,84.75,148500
11/29/2018 1:57:00 PM,85,85.1,85,85.05,38500
11/29/2018 1:56:00 PM,85.1,85.1,85,85,71500
11/29/2018 1:55:00 PM,85.05,85.1,85.05,85.1,88000
11/29/2018 1:54:00 PM,85.2,85.2,85.1,85.1,143000
11/29/2018 1:53:00 PM,85.3,85.3,85.2,85.2,121000
11/29/2018 1:52:00 PM,85.2,85.25,85.2,85.25,104500
11/29/2018 1:51:00 PM,85.3,85.3,85.2,85.2,88000
11/29/2018 1:50:00 PM,85.35,85.35,85.3,85.3,137500
11/29/2018 1:49:00 PM,85.3,85.35,85.3,85.35,55000
11/29/2018 1:48:00 PM,85.25,85.3,85.25,85.3,82500
11/29/2018 1:47:00 PM,85.3,85.3,85.2,85.25,71500
11/29/2018 1:46:00 PM,85.35,85.35,85.35,85.35,49500
11/29/2018 1:45:00 PM,85.35,85.35,85.35,85.35,44000
11/29/2018 1:44:00 PM,85.35,85.35,85.35,85.35,33000
11/29/2018 1:43:00 PM,85.4,85.4,85.35,85.35,60500
11/29/2018 1:42:00 PM,85.4,85.4,85.35,85.35,27500
11/29/2018 1:41:00 PM,85.45,85.45,85.35,85.35,33000
11/29/2018 1:40:00 PM,85.4,85.45,85.4,85.45,22000
11/29/2018 1:39:00 PM,85.4,85.4,85.35,85.4,38500
11/29/2018 1:38:00 PM,85.5,85.5,85.4,85.4,66000
11/29/2018 1:37:00 PM,85.45,85.45,85.45,85.45,16500
11/29/2018 1:36:00 PM,85.45,85.45,85.45,85.45,16500
11/29/2018 1:35:00 PM,85.45,85.45,85.45,85.45,38500
11/29/2018 1:34:00 PM,85.4,85.4,85.4,85.4,319000
11/29/2018 1:33:00 PM,85.45,85.45,85.4,85.4,38500
11/29/2018 1:32:00 PM,85.4,85.45,85.4,85.45,27500
11/29/2018 1:31:00 PM,85.4,85.4,85.35,85.35,27500
11/29/2018 1:30:00 PM,85.35,85.4,85.35,85.4,44000
11/29/2018 1:29:00 PM,85.45,85.45,85.35,85.35,335500
11/29/2018 1:28:00 PM,85.35,85.4,85.35,85.4,203500
11/29/2018 1:27:00 PM,85.4,85.45,85.4,85.4,132000
11/29/2018 1:26:00 PM,85.4,85.4,85.4,85.4,44000
11/29/2018 1:25:00 PM,85.45,85.45,85.4,85.4,38500
11/29/2018 1:24:00 PM,85.45,85.5,85.45,85.45,99000
11/29/2018 1:23:00 PM,85.45,85.45,85.45,85.45,82500
11/29/2018 1:22:00 PM,85.4,85.45,85.35,85.45,44000
11/29/2018 1:21:00 PM,85.5,85.5,85.5,85.5,27500
11/29/2018 1:20:00 PM,85.5,85.5,85.45,85.45,88000
11/29/2018 1:19:00 PM,85.55,85.55,85.55,85.55,60500
11/29/2018 1:18:00 PM,85.6,85.6,85.6,85.6,71500
11/29/2018 1:17:00 PM,85.6,85.6,85.55,85.55,93500
11/29/2018 1:16:00 PM,85.35,85.7,85.35,85.65,297000
11/29/2018 1:15:00 PM,85.35,85.35,85.3,85.3,55000
11/29/2018 1:14:00 PM,85.35,85.45,85.35,85.4,99000
11/29/2018 1:13:00 PM,85.3,85.45,85.3,85.35,115500
11/29/2018 1:12:00 PM,85.25,85.35,85.25,85.35,44000
11/29/2018 1:11:00 PM,85.25,85.25,85.25,85.25,44000
11/29/2018 1:10:00 PM,85.15,85.25,85.15,85.25,27500
11/29/2018 1:09:00 PM,85.2,85.2,85.15,85.15,82500
11/29/2018 1:08:00 PM,85.2,85.2,85.2,85.2,33000
11/29/2018 1:07:00 PM,85.25,85.25,85.2,85.2,27500
11/29/2018 1:06:00 PM,85.25,85.25,85.25,85.25,49500
11/29/2018 1:05:00 PM,85.35,85.4,85.35,85.35,49500
11/29/2018 1:04:00 PM,85.2,85.3,85.2,85.3,93500
11/29/2018 1:03:00 PM,85.05,85.05,85.05,85.05,258500
11/29/2018 1:02:00 PM,85.35,85.35,85.05,85.1,225500
11/29/2018 1:01:00 PM,85.3,85.3,85.3,85.3,38500
11/29/2018 1:00:00 PM,85.35,85.35,85.35,85.35,38500
11/29/2018 12:59:00 PM,85.3,85.3,85.25,85.25,38500
11/29/2018 12:58:00 PM,85.25,85.25,85.2,85.25,88000
11/29/2018 12:57:00 PM,85.25,85.3,85.25,85.3,33000
11/29/2018 12:56:00 PM,85.2,85.25,85.2,85.25,27500
11/29/2018 12:55:00 PM,85.2,85.2,85.2,85.2,38500
11/29/2018 12:54:00 PM,85.15,85.2,85.15,85.2,27500
11/29/2018 12:53:00 PM,85.15,85.2,85.15,85.2,66000
11/29/2018 12:52:00 PM,85.25,85.25,85.15,85.15,44000
11/29/2018 12:51:00 PM,85.15,85.15,85.15,85.15,220000
11/29/2018 12:50:00 PM,85,85.1,85,85.1,60500
11/29/2018 12:49:00 PM,85.05,85.05,84.9,84.9,1358500
11/29/2018 12:48:00 PM,85.1,85.1,85.1,85.1,27500
11/29/2018 12:47:00 PM,85.1,85.1,85.1,85.1,27500
11/29/2018 12:46:00 PM,85.1,85.1,85.1,85.1,44000
11/29/2018 12:45:00 PM,85.2,85.2,85.15,85.15,38500
11/29/2018 12:44:00 PM,85.2,85.2,85.15,85.2,77000
11/29/2018 12:43:00 PM,85.2,85.2,85.15,85.15,269500
11/29/2018 12:42:00 PM,85.25,85.25,85.25,85.25,93500
11/29/2018 12:41:00 PM,85.25,85.25,85.25,85.25,49500
11/29/2018 12:40:00 PM,85.3,85.3,85.25,85.25,137500
11/29/2018 12:39:00 PM,85.3,85.3,85.3,85.3,11000
11/29/2018 12:38:00 PM,85.3,85.3,85.3,85.3,60500
11/29/2018 12:37:00 PM,85.25,85.3,85.25,85.3,104500
11/29/2018 12:36:00 PM,85.25,85.3,85.25,85.3,16500
11/29/2018 12:35:00 PM,85.25,85.25,85.25,85.25,22000
11/29/2018 12:34:00 PM,85.3,85.3,85.25,85.25,22000
11/29/2018 12:33:00 PM,85.3,85.3,85.3,85.3,33000
11/29/2018 12:32:00 PM,85.3,85.3,85.3,85.3,16500
11/29/2018 12:31:00 PM,85.3,85.3,85.25,85.3,16500
11/29/2018 12:30:00 PM,85.3,85.3,85.3,85.3,22000
11/29/2018 12:29:00 PM,85.3,85.3,85.3,85.3,5500
11/29/2018 12:28:00 PM,85.3,85.3,85.3,85.3,49500
11/29/2018 12:27:00 PM,85.3,85.3,85.25,85.3,93500
11/29/2018 12:26:00 PM,85.3,85.3,85.3,85.3,22000
11/29/2018 12:25:00 PM,85.3,85.3,85.3,85.3,22000
11/29/2018 12:24:00 PM,85.3,85.3,85.3,85.3,16500
11/29/2018 12:23:00 PM,85.25,85.25,85.25,85.25,38500
11/29/2018 12:22:00 PM,85.25,85.25,85.25,85.25,11000
11/29/2018 12:21:00 PM,85.25,85.25,85.25,85.25,88000
11/29/2018 12:20:00 PM,85.3,85.3,85.25,85.25,38500
11/29/2018 12:19:00 PM,85.3,85.3,85.3,85.3,22000
11/29/2018 12:18:00 PM,85.3,85.3,85.3,85.3,44000
11/29/2018 12:17:00 PM,85.25,85.3,85.25,85.3,27500
11/29/2018 12:16:00 PM,85.25,85.25,85.25,85.25,22000
11/29/2018 12:15:00 PM,85.45,85.45,85.25,85.25,60500
11/29/2018 12:14:00 PM,85.4,85.45,85.15,85.45,264000
11/29/2018 12:13:00 PM,85.65,85.65,85.5,85.5,225500
11/29/2018 12:12:00 PM,85.95,85.95,85.6,85.8,335500
11/29/2018 12:11:00 PM,85.65,85.85,85.65,85.85,93500
11/29/2018 12:10:00 PM,85.55,85.65,85.55,85.65,77000
11/29/2018 12:09:00 PM,85.55,85.55,85.55,85.55,44000
11/29/2018 12:08:00 PM,85.55,85.55,85.45,85.55,71500
11/29/2018 12:07:00 PM,85.55,85.55,85.45,85.45,22000
11/29/2018 12:06:00 PM,85.5,85.6,85.5,85.6,143000
11/29/2018 12:05:00 PM,85.5,85.5,85.5,85.5,93500
11/29/2018 12:04:00 PM,85.2,85.35,85.2,85.35,137500
11/29/2018 12:03:00 PM,85.2,85.2,85.2,85.2,33000
11/29/2018 12:02:00 PM,85.25,85.25,85.2,85.2,22000
11/29/2018 12:01:00 PM,85.15,85.25,85.15,85.25,44000
11/29/2018 12:00:00 PM,85.15,85.15,85.15,85.15,60500
11/29/2018 11:59:00 AM,85.2,85.2,85.15,85.15,88000
11/29/2018 11:58:00 AM,85.2,85.25,85.2,85.25,66000
11/29/2018 11:57:00 AM,85.25,85.25,85.15,85.2,38500
11/29/2018 11:56:00 AM,85.15,85.15,85.15,85.15,27500
11/29/2018 11:55:00 AM,85.1,85.15,85.1,85.15,104500
11/29/2018 11:54:00 AM,85.15,85.15,85.1,85.1,71500
11/29/2018 11:53:00 AM,85.25,85.25,85.2,85.2,60500
11/29/2018 11:52:00 AM,85.3,85.3,85.3,85.3,22000
11/29/2018 11:51:00 AM,85.3,85.3,85.3,85.3,16500
11/29/2018 11:50:00 AM,85.3,85.3,85.3,85.3,55000
11/29/2018 11:49:00 AM,85.4,85.4,85.3,85.3,33000
11/29/2018 11:48:00 AM,85.3,85.4,85.3,85.4,49500
11/29/2018 11:47:00 AM,85.4,85.4,85.3,85.3,33000
11/29/2018 11:46:00 AM,85.4,85.4,85.35,85.35,38500
11/29/2018 11:45:00 AM,85.4,85.4,85.35,85.4,104500
11/29/2018 11:44:00 AM,85.35,85.4,85.35,85.4,44000
11/29/2018 11:43:00 AM,85.4,85.4,85.3,85.3,880000
11/29/2018 11:42:00 AM,85.4,85.4,85.3,85.3,44000
11/29/2018 11:41:00 AM,85.3,85.4,85.3,85.4,33000
11/29/2018 11:40:00 AM,85.3,85.3,85.3,85.3,16500
11/29/2018 11:39:00 AM,85.3,85.4,85.3,85.4,66000
11/29/2018 11:38:00 AM,85.4,85.4,85.3,85.3,60500
11/29/2018 11:37:00 AM,85.35,85.4,85.35,85.4,44000
11/29/2018 11:36:00 AM,85.35,85.35,85.35,85.35,38500
11/29/2018 11:35:00 AM,85.35,85.35,85.35,85.35,22000
11/29/2018 11:34:00 AM,85.4,85.4,85.4,85.4,16500
11/29/2018 11:33:00 AM,85.4,85.4,85.4,85.4,55000
11/29/2018 11:32:00 AM,85.4,85.4,85.4,85.4,38500
11/29/2018 11:31:00 AM,85.35,85.4,85.35,85.4,27500
11/29/2018 11:30:00 AM,85.4,85.4,85.25,85.25,104500
11/29/2018 11:29:00 AM,85.45,85.45,85.45,85.45,11000
11/29/2018 11:28:00 AM,85.35,85.5,85.35,85.5,66000
11/29/2018 11:27:00 AM,85.35,85.4,85.35,85.35,60500
11/29/2018 11:26:00 AM,85.25,85.35,85.25,85.35,27500
11/29/2018 11:25:00 AM,85.4,85.4,85.25,85.25,38500
11/29/2018 11:24:00 AM,85.4,85.4,85.3,85.4,33000
11/29/2018 11:23:00 AM,85.45,85.45,85.4,85.4,126500
11/29/2018 11:22:00 AM,85.45,85.5,85.45,85.45,77000
11/29/2018 11:21:00 AM,85.35,85.4,85.35,85.4,22000
11/29/2018 11:20:00 AM,85.35,85.4,85.3,85.4,44000
11/29/2018 11:19:00 AM,85.35,85.45,85.35,85.45,66000
11/29/2018 11:18:00 AM,85.55,85.55,85.35,85.35,88000
11/29/2018 11:17:00 AM,85.65,85.65,85.55,85.55,33000
11/29/2018 11:16:00 AM,85.55,85.65,85.55,85.65,33000
11/29/2018 11:15:00 AM,85.55,85.65,85.55,85.55,55000
11/29/2018 11:14:00 AM,85.55,85.55,85.45,85.55,71500
11/29/2018 11:13:00 AM,85.6,85.65,85.6,85.65,71500
11/29/2018 11:12:00 AM,85.6,85.65,85.6,85.6,71500
11/29/2018 11:11:00 AM,85.75,85.8,85.6,85.6,143000
11/29/2018 11:10:00 AM,85.75,85.85,85.75,85.75,115500
11/29/2018 11:09:00 AM,85.7,85.95,85.7,85.75,170500
11/29/2018 11:08:00 AM,85.95,85.95,85.65,85.7,148500
11/29/2018 11:07:00 AM,86,86,85.9,85.95,93500
11/29/2018 11:06:00 AM,85.5,86.15,85.4,86.15,473000
11/29/2018 11:05:00 AM,85.4,85.4,85.4,85.4,22000
11/29/2018 11:04:00 AM,85.4,85.4,85.4,85.4,38500
11/29/2018 11:03:00 AM,85.4,85.4,85.35,85.4,93500
11/29/2018 11:02:00 AM,85.3,85.45,85.3,85.4,115500
11/29/2018 11:01:00 AM,85.35,85.4,85.3,85.3,60500
11/29/2018 11:00:00 AM,85.3,85.35,85.3,85.35,55000
11/29/2018 10:59:00 AM,85.35,85.45,85.3,85.3,726000
11/29/2018 10:58:00 AM,85.45,85.45,85.25,85.35,159500
11/29/2018 10:57:00 AM,85.35,85.45,85.35,85.45,170500
11/29/2018 10:56:00 AM,85.45,85.5,85.3,85.35,93500
11/29/2018 10:55:00 AM,85.25,85.45,85.25,85.45,93500
11/29/2018 10:54:00 AM,85.45,85.45,85.25,85.25,132000
11/29/2018 10:53:00 AM,85.35,85.55,85.3,85.4,159500
11/29/2018 10:52:00 AM,85.65,85.65,85.35,85.35,280500
11/29/2018 10:51:00 AM,85.5,85.7,85.5,85.65,143000
11/29/2018 10:50:00 AM,85.4,85.7,85.4,85.5,390500
11/29/2018 10:49:00 AM,85.25,85.5,85.15,85.4,198000
11/29/2018 10:48:00 AM,85.2,85.35,85.2,85.3,176000
11/29/2018 10:47:00 AM,85.35,85.65,85.2,85.2,764500
11/29/2018 10:46:00 AM,84.85,85.4,84.85,85.35,649000
11/29/2018 10:45:00 AM,84.8,84.95,84.7,84.85,341000
11/29/2018 10:44:00 AM,84.5,84.8,84.5,84.8,357500
11/29/2018 10:43:00 AM,84.45,84.6,84.4,84.5,363000
11/29/2018 10:42:00 AM,84.2,84.5,84.2,84.45,566500
11/29/2018 10:41:00 AM,84.2,84.3,84.15,84.2,484000
11/29/2018 10:40:00 AM,84.05,84.2,84.05,84.15,242000
11/29/2018 10:39:00 AM,84.1,84.1,84,84.05,313500
11/29/2018 10:38:00 AM,83.9,84.05,83.9,84.05,170500
11/29/2018 10:37:00 AM,83.85,83.95,83.85,83.9,2260500
11/29/2018 10:36:00 AM,83.55,83.85,83.55,83.85,165000
11/29/2018 10:35:00 AM,83.6,83.6,83.55,83.6,33000
11/29/2018 10:34:00 AM,83.6,83.6,83.6,83.6,44000
11/29/2018 10:33:00 AM,83.4,83.5,83.4,83.5,22000
11/29/2018 10:32:00 AM,83.4,83.4,83.4,83.4,11000
11/29/2018 10:31:00 AM,83.4,83.4,83.4,83.4,55000
11/29/2018 10:30:00 AM,83.45,83.5,83.45,83.5,60500
11/29/2018 10:29:00 AM,83.45,83.45,83.45,83.45,27500
11/29/2018 10:28:00 AM,83.5,83.5,83.4,83.4,22000
11/29/2018 10:27:00 AM,83.45,83.45,83.45,83.45,22000
11/29/2018 10:26:00 AM,83.45,83.45,83.45,83.45,49500
11/29/2018 10:25:00 AM,83.5,83.5,83.5,83.5,33000
11/29/2018 10:24:00 AM,83.55,83.55,83.55,83.55,22000
11/29/2018 10:23:00 AM,83.5,83.55,83.5,83.55,44000
11/29/2018 10:22:00 AM,83.6,83.6,83.5,83.5,27500
11/29/2018 10:21:00 AM,83.6,83.65,83.6,83.65,33000
11/29/2018 10:20:00 AM,83.55,83.6,83.55,83.6,104500
11/29/2018 10:19:00 AM,83.55,83.55,83.55,83.55,55000
11/29/2018 10:18:00 AM,83.55,83.55,83.5,83.5,27500
11/29/2018 10:17:00 AM,83.5,83.55,83.5,83.55,38500
11/29/2018 10:16:00 AM,83.5,83.5,83.5,83.5,71500
11/29/2018 10:15:00 AM,83.45,83.5,83.45,83.5,27500
11/29/2018 10:14:00 AM,83.55,83.55,83.45,83.45,22000
11/29/2018 10:13:00 AM,83.45,83.5,83.45,83.5,33000
11/29/2018 10:12:00 AM,83.3,83.4,83.3,83.4,93500
11/29/2018 10:11:00 AM,83.4,83.4,83.4,83.4,49500
11/29/2018 10:10:00 AM,83.45,83.45,83.4,83.4,5500
11/29/2018 10:09:00 AM,83.5,83.5,83.45,83.45,22000
11/29/2018 10:08:00 AM,83.5,83.5,83.4,83.45,22000
11/29/2018 10:07:00 AM,83.5,83.5,83.45,83.45,176000
11/29/2018 10:06:00 AM,83.45,83.55,83.45,83.55,44000
11/29/2018 10:05:00 AM,83.45,83.45,83.45,83.45,88000
11/29/2018 10:04:00 AM,83.4,83.45,83.4,83.45,44000
11/29/2018 10:03:00 AM,83.4,83.45,83.3,83.4,49500
11/29/2018 10:02:00 AM,83.5,83.5,83.35,83.4,137500
11/29/2018 10:01:00 AM,83.5,83.55,83.5,83.5,104500
11/29/2018 10:00:00 AM,83.6,83.6,83.5,83.5,143000
11/29/2018 9:59:00 AM,83.7,83.7,83.5,83.6,38500
11/29/2018 9:58:00 AM,83.6,83.7,83.6,83.7,99000
11/29/2018 9:57:00 AM,83.6,83.65,83.6,83.6,269500
11/29/2018 9:56:00 AM,83.35,83.6,83.2,83.6,539000
11/29/2018 9:55:00 AM,83.35,83.35,83.2,83.35,209000
11/29/2018 9:54:00 AM,83.2,83.35,83.2,83.35,55000
11/29/2018 9:53:00 AM,83.15,83.4,83.15,83.2,242000
11/29/2018 9:52:00 AM,83.1,83.15,83.1,83.15,16500
11/29/2018 9:51:00 AM,83.05,83.1,83,83.1,561000
11/29/2018 9:50:00 AM,83,83.15,83,83.15,82500
11/29/2018 9:49:00 AM,83.05,83.05,83,83,137500
11/29/2018 9:48:00 AM,82.95,83.1,82.95,83.05,77000
11/29/2018 9:47:00 AM,83.1,83.1,82.95,82.95,44000
11/29/2018 9:46:00 AM,83.05,83.1,83.05,83.1,291500
11/29/2018 9:45:00 AM,83,83.1,83,83.1,632500
11/29/2018 9:44:00 AM,83.05,83.05,83,83,110000
11/29/2018 9:43:00 AM,83.1,83.1,83,83.05,82500
11/29/2018 9:42:00 AM,83.15,83.2,83.1,83.1,115500
11/29/2018 9:41:00 AM,83.15,83.15,83.05,83.15,38500
11/29/2018 9:40:00 AM,83.05,83.15,83.05,83.15,71500
11/29/2018 9:39:00 AM,83.25,83.25,83.05,83.05,60500
11/29/2018 9:38:00 AM,83,83.25,83,83.25,110000
11/29/2018 9:37:00 AM,82.95,83.05,82.95,83,60500
11/29/2018 9:36:00 AM,82.95,83,82.9,83,225500
11/29/2018 9:35:00 AM,83,83,82.9,82.95,44000
11/29/2018 9:34:00 AM,83.05,83.05,82.95,83,104500
11/29/2018 9:33:00 AM,83.1,83.1,83,83,49500
11/29/2018 9:32:00 AM,83.05,83.05,83.05,83.05,82500
11/29/2018 9:31:00 AM,83.35,83.35,83.15,83.15,126500
11/29/2018 9:30:00 AM,83.45,83.45,83.35,83.35,27500
11/29/2018 9:29:00 AM,83.25,83.55,83.25,83.55,671000
11/29/2018 9:28:00 AM,82.8,83.2,82.8,83.2,236500
11/29/2018 9:27:00 AM,82.85,82.9,82.8,82.8,104500
11/29/2018 9:26:00 AM,82.8,82.9,82.8,82.85,187000
11/29/2018 9:25:00 AM,82.8,82.85,82.75,82.8,137500
11/29/2018 9:24:00 AM,82.7,82.85,82.7,82.8,148500
11/29/2018 9:23:00 AM,82.65,82.75,82.65,82.75,143000
11/29/2018 9:22:00 AM,82.55,82.65,82.55,82.65,154000
11/29/2018 9:21:00 AM,82.4,82.6,82.4,82.6,335500
11/29/2018 9:20:00 AM,82.15,82.4,82.15,82.4,110000
11/29/2018 9:19:00 AM,82.15,82.15,82.15,82.15,330000
11/29/2018 9:18:00 AM,82.05,82.1,82,82.1,71500
11/29/2018 9:17:00 AM,82.05,82.25,82.05,82.1,55000
11/29/2018 9:16:00 AM,82.1,82.1,82.1,82.1,137500
11/29/2018 9:15:00 AM,82.05,82.05,81.9,81.9,148500
11/28/2018 3:29:00 PM,81.8,81.8,81.75,81.75,55000
11/28/2018 3:28:00 PM,81.8,81.8,81.8,81.8,38500
11/28/2018 3:27:00 PM,81.8,81.8,81.75,81.75,49500
11/28/2018 3:26:00 PM,81.8,81.8,81.8,81.8,11000
11/28/2018 3:25:00 PM,81.85,81.9,81.85,81.9,22000
11/28/2018 3:24:00 PM,81.9,81.9,81.85,81.85,5500
11/28/2018 3:23:00 PM,81.8,81.9,81.8,81.9,38500
11/28/2018 3:22:00 PM,82,82,81.9,81.9,132000
11/28/2018 3:21:00 PM,82.05,82.05,82.05,82.05,22000
11/28/2018 3:20:00 PM,82.05,82.1,82.05,82.05,38500
11/28/2018 3:19:00 PM,81.95,82.05,81.95,82.05,44000
11/28/2018 3:18:00 PM,81.85,81.95,81.85,81.95,22000
11/28/2018 3:17:00 PM,81.85,81.85,81.8,81.8,16500
11/28/2018 3:16:00 PM,81.8,81.85,81.8,81.85,11000
11/28/2018 3:15:00 PM,81.8,81.8,81.75,81.75,55000
11/28/2018 3:14:00 PM,81.8,81.85,81.8,81.85,22000
11/28/2018 3:13:00 PM,81.7,81.75,81.7,81.75,11000
11/28/2018 3:12:00 PM,81.75,81.75,81.7,81.7,11000
11/28/2018 3:11:00 PM,81.75,81.75,81.75,81.75,11000
11/28/2018 3:10:00 PM,81.8,81.8,81.75,81.75,27500
11/28/2018 3:09:00 PM,81.8,81.8,81.75,81.75,5500
11/28/2018 3:08:00 PM,81.8,81.8,81.8,81.8,33000
11/28/2018 3:07:00 PM,81.75,81.8,81.75,81.8,11000
