Date,USDINR18DEC72CE O,USDINR18DEC72CE H,USDINR18DEC72CE L,USDINR18DEC72CE C,USDINR18DEC72CE V
12/3/2018 2:55:00 PM,0.1375,0.1375,0.1375,0.1375,209
12/3/2018 2:54:00 PM,0.135,0.1375,0.135,0.1375,66
12/3/2018 2:53:00 PM,0.1325,0.135,0.1325,0.135,10
12/3/2018 2:52:00 PM,0.1325,0.1325,0.1325,0.1325,1
12/3/2018 2:51:00 PM,0.13,0.1325,0.13,0.1325,40
12/3/2018 2:50:00 PM,0.13,0.1325,0.13,0.13,216
12/3/2018 2:49:00 PM,0.1275,0.13,0.1275,0.13,352
12/3/2018 2:48:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:47:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:46:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:45:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:44:00 PM,0.1275,0.1275,0.1275,0.1275,37
12/3/2018 2:43:00 PM,0.1275,0.1275,0.1275,0.1275,18
12/3/2018 2:42:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:41:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:40:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:39:00 PM,0.1275,0.1275,0.1275,0.1275,10
12/3/2018 2:38:00 PM,0.125,0.1275,0.125,0.1275,100
12/3/2018 2:37:00 PM,0.125,0.125,0.125,0.125,0
12/3/2018 2:36:00 PM,0.125,0.125,0.125,0.125,341
12/3/2018 2:35:00 PM,0.1275,0.1275,0.125,0.125,29
12/3/2018 2:34:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:33:00 PM,0.125,0.1275,0.125,0.1275,54
12/3/2018 2:32:00 PM,0.1275,0.1275,0.125,0.125,48
12/3/2018 2:31:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:30:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:29:00 PM,0.1275,0.1275,0.125,0.1275,419
12/3/2018 2:28:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:27:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:26:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:25:00 PM,0.13,0.13,0.1275,0.1275,500
12/3/2018 2:24:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:23:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:22:00 PM,0.1275,0.13,0.1275,0.13,226
12/3/2018 2:21:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:20:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:19:00 PM,0.13,0.13,0.1275,0.1275,392
12/3/2018 2:18:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:17:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:16:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:15:00 PM,0.13,0.13,0.13,0.13,73
12/3/2018 2:14:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:13:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:12:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:11:00 PM,0.13,0.13,0.13,0.13,25
12/3/2018 2:10:00 PM,0.1275,0.13,0.1275,0.13,14
12/3/2018 2:09:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:08:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:07:00 PM,0.13,0.13,0.1275,0.1275,125
12/3/2018 2:06:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:05:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 2:04:00 PM,0.1275,0.13,0.1275,0.13,10
12/3/2018 2:03:00 PM,0.1275,0.1275,0.1275,0.1275,0
12/3/2018 2:02:00 PM,0.125,0.1275,0.125,0.1275,10
12/3/2018 2:01:00 PM,0.13,0.13,0.125,0.125,62
12/3/2018 2:00:00 PM,0.13,0.13,0.13,0.13,0
12/3/2018 1:59:00 PM,0.13,0.13,0.13,0.13,48
12/3/2018 1:58:00 PM,0.13,0.13,0.13,0.13,514
12/3/2018 1:57:00 PM,0.13,0.1325,0.13,0.13,234
12/3/2018 1:56:00 PM,0.13,0.1325,0.13,0.13,138
12/3/2018 1:55:00 PM,0.135,0.135,0.13,0.13,67
12/3/2018 1:54:00 PM,0.1325,0.135,0.1325,0.135,41
12/3/2018 1:53:00 PM,0.135,0.135,0.1325,0.1325,1145
12/3/2018 1:52:00 PM,0.1375,0.1375,0.135,0.135,110
12/3/2018 1:51:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 1:50:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 1:49:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 1:48:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 1:47:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 1:46:00 PM,0.14,0.14,0.1375,0.1375,210
12/3/2018 1:45:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 1:44:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 1:43:00 PM,0.1425,0.1425,0.14,0.14,445
12/3/2018 1:42:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 1:41:00 PM,0.1425,0.1425,0.1425,0.1425,0
12/3/2018 1:40:00 PM,0.145,0.145,0.1425,0.1425,200
12/3/2018 1:39:00 PM,0.145,0.145,0.145,0.145,6
12/3/2018 1:38:00 PM,0.145,0.145,0.145,0.145,0
12/3/2018 1:37:00 PM,0.1475,0.1475,0.145,0.145,10
12/3/2018 1:36:00 PM,0.1475,0.1475,0.1475,0.1475,5
12/3/2018 1:35:00 PM,0.145,0.1475,0.145,0.1475,10
12/3/2018 1:34:00 PM,0.145,0.145,0.145,0.145,0
12/3/2018 1:33:00 PM,0.145,0.145,0.145,0.145,102
12/3/2018 1:32:00 PM,0.145,0.145,0.145,0.145,0
12/3/2018 1:31:00 PM,0.145,0.145,0.145,0.145,110
12/3/2018 1:30:00 PM,0.1425,0.1475,0.1425,0.1475,165
12/3/2018 1:29:00 PM,0.14,0.1425,0.14,0.1425,134
12/3/2018 1:28:00 PM,0.135,0.14,0.135,0.14,773
12/3/2018 1:27:00 PM,0.1375,0.1375,0.1325,0.135,152
12/3/2018 1:26:00 PM,0.135,0.1375,0.135,0.1375,10
12/3/2018 1:25:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:24:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:23:00 PM,0.135,0.135,0.1325,0.135,131
12/3/2018 1:22:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:21:00 PM,0.135,0.135,0.135,0.135,213
12/3/2018 1:20:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:19:00 PM,0.135,0.135,0.135,0.135,12
12/3/2018 1:18:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:17:00 PM,0.135,0.135,0.135,0.135,400
12/3/2018 1:16:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:15:00 PM,0.1325,0.135,0.1325,0.135,10
12/3/2018 1:14:00 PM,0.135,0.135,0.1325,0.1325,100
12/3/2018 1:13:00 PM,0.135,0.135,0.1325,0.135,66
12/3/2018 1:12:00 PM,0.135,0.135,0.135,0.135,465
12/3/2018 1:11:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:10:00 PM,0.135,0.135,0.135,0.135,6
12/3/2018 1:09:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:08:00 PM,0.1375,0.1375,0.135,0.135,15
12/3/2018 1:07:00 PM,0.135,0.1375,0.135,0.1375,10
12/3/2018 1:06:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 1:05:00 PM,0.1325,0.135,0.1325,0.135,276
12/3/2018 1:04:00 PM,0.1325,0.1325,0.1325,0.1325,0
12/3/2018 1:03:00 PM,0.1325,0.135,0.1325,0.1325,30
12/3/2018 1:02:00 PM,0.13,0.135,0.13,0.1325,39
12/3/2018 1:01:00 PM,0.135,0.135,0.13,0.13,56
12/3/2018 1:00:00 PM,0.135,0.135,0.135,0.135,23
12/3/2018 12:59:00 PM,0.135,0.135,0.135,0.135,0
12/3/2018 12:58:00 PM,0.1375,0.1375,0.135,0.135,410
12/3/2018 12:57:00 PM,0.1375,0.1375,0.1375,0.1375,72
12/3/2018 12:56:00 PM,0.1375,0.1375,0.1375,0.1375,97
12/3/2018 12:55:00 PM,0.1375,0.1375,0.135,0.135,34
12/3/2018 12:54:00 PM,0.1375,0.1375,0.1375,0.1375,0
12/3/2018 12:53:00 PM,0.1375,0.1375,0.1375,0.1375,451
12/3/2018 12:52:00 PM,0.135,0.1375,0.135,0.1375,613
12/3/2018 12:51:00 PM,0.14,0.14,0.135,0.135,137
12/3/2018 12:50:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 12:49:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 12:48:00 PM,0.1375,0.14,0.135,0.14,86
12/3/2018 12:47:00 PM,0.145,0.145,0.1375,0.1375,448
12/3/2018 12:46:00 PM,0.14,0.145,0.14,0.145,1256
12/3/2018 12:45:00 PM,0.14,0.14,0.14,0.14,125
12/3/2018 12:44:00 PM,0.14,0.14,0.14,0.14,1
12/3/2018 12:43:00 PM,0.14,0.14,0.14,0.14,0
12/3/2018 12:42:00 PM,0.1375,0.14,0.135,0.14,140
12/3/2018 12:41:00 PM,0.1375,0.14,0.1375,0.1375,107
12/3/2018 12:40:00 PM,0.1325,0.14,0.1325,0.1375,952
12/3/2018 12:39:00 PM,0.1375,0.1375,0.1325,0.1325,4
12/3/2018 12:38:00 PM,0.1375,0.1375,0.1375,0.1375,1
12/3/2018 12:37:00 PM,0.135,0.135,0.135,0.135,21
12/3/2018 12:36:00 PM,0.1375,0.1375,0.135,0.135,263
12/3/2018 12:35:00 PM,0.1425,0.1425,0.1375,0.1375,1248
12/3/2018 12:34:00 PM,0.145,0.145,0.1375,0.1425,4816
12/3/2018 12:33:00 PM,0.145,0.145,0.145,0.145,0
12/3/2018 12:32:00 PM,0.145,0.145,0.145,0.145,0
12/3/2018 12:31:00 PM,0.14,0.1475,0.14,0.145,879
12/3/2018 12:30:00 PM,0.135,0.14,0.135,0.14,628
12/3/2018 12:29:00 PM,0.135,0.135,0.135,0.135,11
12/3/2018 12:28:00 PM,0.1375,0.1375,0.135,0.135,705
12/3/2018 12:27:00 PM,0.1375,0.14,0.1375,0.1375,438
