Date,Nifty Bank O,Nifty Bank H,Nifty Bank L,Nifty Bank C,Nifty Bank V
11/22/2018 1:37:00 PM,26137.75,26141.4,26133.9,26138.95,0
11/22/2018 1:36:00 PM,26139.7,26143.4,26129.1,26139.15,0
11/22/2018 1:35:00 PM,26152.1,26154.35,26133.55,26141.45,0
11/22/2018 1:34:00 PM,26151,26156.55,26148.75,26150.7,0
11/22/2018 1:33:00 PM,26134.2,26150.8,26134.2,26150.8,0
11/22/2018 1:32:00 PM,26131,26135.6,26129,26131.85,0
11/22/2018 1:31:00 PM,26135.3,26138,26121.4,26132.4,0
11/22/2018 1:30:00 PM,26139.4,26140.3,26130.55,26136.45,0
11/22/2018 1:29:00 PM,26133.45,26143.15,26130.1,26141.35,0
11/22/2018 1:28:00 PM,26165.05,26165.65,26135.6,26136.75,0
11/22/2018 1:27:00 PM,26165.8,26168.45,26163.1,26163.1,0
11/22/2018 1:26:00 PM,26161.6,26164.45,26156.2,26162.2,0
11/22/2018 1:25:00 PM,26178.9,26178.9,26160.5,26162.05,0
11/22/2018 1:24:00 PM,26184.3,26186.3,26176.25,26179.1,0
11/22/2018 1:23:00 PM,26173.9,26184.15,26168.35,26183.2,0
11/22/2018 1:22:00 PM,26168.8,26183.8,26168.8,26175,0
11/22/2018 1:21:00 PM,26170.75,26174.3,26158.8,26170.6,0
11/22/2018 1:20:00 PM,26170.35,26172.9,26166.75,26169.55,0
11/22/2018 1:19:00 PM,26160.15,26169.5,26155.3,26169.25,0
11/22/2018 1:18:00 PM,26197.1,26197.1,26161.1,26163.95,0
11/22/2018 1:17:00 PM,26208.85,26209.05,26197.05,26197.05,0
11/22/2018 1:16:00 PM,26206.05,26211.7,26200.05,26211.25,0
11/22/2018 1:15:00 PM,26206.8,26208.2,26193.8,26206.85,0
11/22/2018 1:14:00 PM,26213.4,26213.7,26200.4,26205,0
11/22/2018 1:13:00 PM,26218.65,26222.6,26210.7,26213.25,0
11/22/2018 1:12:00 PM,26204.95,26219.05,26204.95,26217.1,0
11/22/2018 1:11:00 PM,26205.45,26210.65,26203.55,26210.65,0
11/22/2018 1:10:00 PM,26194.7,26205,26181.45,26202.9,0
11/22/2018 1:09:00 PM,26196.5,26199.65,26185.1,26192.4,0
11/22/2018 1:08:00 PM,26188.25,26198.6,26188.25,26197.2,0
11/22/2018 1:07:00 PM,26200.55,26206.05,26185.45,26185.75,0
11/22/2018 1:06:00 PM,26187.6,26202.8,26186.75,26202.7,0
11/22/2018 1:05:00 PM,26216.4,26216.85,26187.2,26187.2,0
11/22/2018 1:04:00 PM,26215.1,26218.3,26214.3,26215.8,0
11/22/2018 1:03:00 PM,26227,26228.1,26221.3,26222.4,0
11/22/2018 1:02:00 PM,26220.85,26233.1,26220.85,26229.75,0
11/22/2018 1:01:00 PM,26223.6,26231.65,26214.15,26221.6,0
11/22/2018 1:00:00 PM,26250.5,26253,26215.8,26227.6,0
11/22/2018 12:59:00 PM,26242.25,26253.45,26233.55,26251.15,0
11/22/2018 12:58:00 PM,26240.45,26249.3,26239.5,26241.35,0
11/22/2018 12:57:00 PM,26244.35,26245.65,26237.2,26239.7,0
11/22/2018 12:56:00 PM,26251.5,26253.9,26241.25,26244.45,0
11/22/2018 12:55:00 PM,26253.95,26253.95,26247.6,26251.1,0
11/22/2018 12:54:00 PM,26252.05,26256.7,26249.45,26254,0
11/22/2018 12:53:00 PM,26258.7,26262.7,26249.9,26251.2,0
11/22/2018 12:52:00 PM,26250.95,26265.15,26250.9,26260.05,0
11/22/2018 12:51:00 PM,26249.3,26253.25,26248.6,26250.75,0
11/22/2018 12:50:00 PM,26239.9,26250.5,26237.75,26249.6,0
11/22/2018 12:49:00 PM,26266.75,26267.6,26235.75,26237.2,0
11/22/2018 12:48:00 PM,26270.6,26270.6,26262.1,26267.05,0
11/22/2018 12:47:00 PM,26272.3,26274.45,26269.55,26269.55,0
11/22/2018 12:46:00 PM,26266.3,26272,26263.85,26272,0
11/22/2018 12:45:00 PM,26269.6,26270.05,26264.5,26265.15,0
11/22/2018 12:44:00 PM,26268.8,26273.45,26267.55,26269.4,0
11/22/2018 12:43:00 PM,26275.8,26276.45,26269,26272.65,0
11/22/2018 12:42:00 PM,26283.2,26283.7,26272.3,26275.55,0
11/22/2018 12:41:00 PM,26289.95,26292.2,26282.85,26284.85,0
11/22/2018 12:40:00 PM,26292.25,26293.45,26286.05,26289.8,0
11/22/2018 12:39:00 PM,26297.95,26301.6,26291,26291.4,0
11/22/2018 12:38:00 PM,26293.1,26299.1,26292.9,26299.1,0
11/22/2018 12:37:00 PM,26304.15,26304.15,26290.95,26292.7,0
11/22/2018 12:36:00 PM,26311.6,26313.7,26302.05,26302.05,0
11/22/2018 12:35:00 PM,26309.25,26313.45,26307,26313.1,0
11/22/2018 12:34:00 PM,26295.8,26312.25,26294.7,26310.1,0
11/22/2018 12:33:00 PM,26287.7,26296.8,26287.7,26295.75,0
11/22/2018 12:32:00 PM,26284.5,26289.9,26283.3,26288.45,0
11/22/2018 12:31:00 PM,26290.2,26292.15,26284.5,26285.1,0
11/22/2018 12:30:00 PM,26290.05,26293.1,26287.5,26291.65,0
11/22/2018 12:29:00 PM,26293.35,26295,26290.35,26290.75,0
11/22/2018 12:28:00 PM,26296.55,26298,26293.15,26293.15,0
11/22/2018 12:27:00 PM,26297.6,26298.45,26294.05,26296.75,0
11/22/2018 12:26:00 PM,26293.85,26299,26291.1,26296.95,0
11/22/2018 12:25:00 PM,26288.85,26295.5,26286.4,26294.1,0
11/22/2018 12:24:00 PM,26288.05,26290.8,26285.95,26288.95,0
11/22/2018 12:23:00 PM,26291.05,26292.1,26286.85,26288.2,0
11/22/2018 12:22:00 PM,26303.1,26303.1,26290.05,26290.45,0
11/22/2018 12:21:00 PM,26288.1,26303.85,26286.4,26303.3,0
11/22/2018 12:20:00 PM,26269.55,26287.45,26268.7,26284.3,0
11/22/2018 12:19:00 PM,26260.9,26270.25,26260.65,26270.25,0
11/22/2018 12:18:00 PM,26260.5,26262.5,26259.4,26261.3,0
11/22/2018 12:17:00 PM,26255.4,26261.15,26254.05,26260.65,0
11/22/2018 12:16:00 PM,26258.1,26259.05,26254.95,26255.2,0
11/22/2018 12:15:00 PM,26258.75,26261.75,26257.4,26258.1,0
11/22/2018 12:14:00 PM,26258.8,26259.95,26255.8,26258.75,0
11/22/2018 12:13:00 PM,26255.6,26258.9,26252.3,26258.9,0
11/22/2018 12:12:00 PM,26263.6,26267.35,26255.6,26255.95,0
11/22/2018 12:11:00 PM,26273.95,26273.95,26263.6,26263.6,0
11/22/2018 12:10:00 PM,26264.25,26274.9,26263.55,26274.75,0
11/22/2018 12:09:00 PM,26260.1,26263.65,26256.25,26263.65,0
11/22/2018 12:08:00 PM,26256.25,26259.45,26253.5,26259.45,0
11/22/2018 12:07:00 PM,26242.15,26255.5,26239.5,26255.3,0
11/22/2018 12:06:00 PM,26236.15,26239.4,26234.6,26239.4,0
11/22/2018 12:05:00 PM,26239.55,26241.45,26227.15,26233.8,0
11/22/2018 12:04:00 PM,26244.5,26245.25,26239.45,26239.55,0
11/22/2018 12:03:00 PM,26243.95,26247.1,26239.3,26241.2,0
11/22/2018 12:02:00 PM,26236.45,26244.45,26236.45,26244.15,0
11/22/2018 12:01:00 PM,26245.15,26246.1,26236.55,26238,0
11/22/2018 12:00:00 PM,26242.95,26247,26239.75,26246.1,0
11/22/2018 11:59:00 AM,26236.35,26242.05,26234.6,26241.85,0
11/22/2018 11:58:00 AM,26232.15,26239.85,26232.15,26236.5,0
11/22/2018 11:57:00 AM,26232.95,26235.05,26230.2,26231.9,0
11/22/2018 11:56:00 AM,26237.85,26238.4,26231.7,26232.35,0
11/22/2018 11:55:00 AM,26246.5,26246.5,26236.55,26238.1,0
11/22/2018 11:54:00 AM,26244.85,26246,26243.75,26245,0
11/22/2018 11:53:00 AM,26239.6,26246.45,26237.4,26245.65,0
11/22/2018 11:52:00 AM,26240,26240.5,26236.65,26237.6,0
11/22/2018 11:51:00 AM,26235.95,26240.85,26235.85,26239.6,0
11/22/2018 11:50:00 AM,26224.1,26237.2,26224.1,26235.75,0
11/22/2018 11:49:00 AM,26222.25,26225,26221.5,26223.85,0
11/22/2018 11:48:00 AM,26222.95,26224.75,26219.5,26222.75,0
11/22/2018 11:47:00 AM,26218.25,26225.15,26217.6,26222.35,0
11/22/2018 11:46:00 AM,26233.25,26235.65,26213.25,26218.95,0
11/22/2018 11:45:00 AM,26246.1,26246.7,26232.25,26234.25,0
11/22/2018 11:44:00 AM,26258.7,26258.7,26245.25,26246.5,0
11/22/2018 11:43:00 AM,26261.85,26262.45,26256.1,26258.65,0
11/22/2018 11:42:00 AM,26255.75,26262.65,26253.35,26261.7,0
11/22/2018 11:41:00 AM,26256.05,26256.8,26253.2,26255.75,0
11/22/2018 11:40:00 AM,26252.25,26256.6,26250.7,26256.35,0
11/22/2018 11:39:00 AM,26253.4,26253.45,26247.15,26251.7,0
11/22/2018 11:38:00 AM,26259.7,26259.7,26251.55,26253.55,0
11/22/2018 11:37:00 AM,26263.8,26263.8,26258.7,26259.3,0
11/22/2018 11:36:00 AM,26265.3,26267.45,26262.1,26263.95,0
11/22/2018 11:35:00 AM,26257.2,26264.85,26257,26264.3,0
11/22/2018 11:34:00 AM,26255.25,26260.3,26255.05,26258.2,0
11/22/2018 11:33:00 AM,26259.8,26261.55,26255.2,26256.4,0
11/22/2018 11:32:00 AM,26253.85,26260.55,26253.2,26260.55,0
11/22/2018 11:31:00 AM,26252.15,26255.35,26246.8,26254.85,0
11/22/2018 11:30:00 AM,26249.45,26252.55,26242,26251.5,0
11/22/2018 11:29:00 AM,26253.1,26254,26247.55,26249.8,0
