Date,USDINR O,USDINR H,USDINR L,USDINR C,USDINR V
11/22/2018 3:23:00 PM,71.074997,71.074997,71.065002,71.07,-987654321
11/22/2018 3:22:00 PM,71.087502,71.087502,71.074997,71.074997,-987654321
11/22/2018 3:21:00 PM,71.097504,71.112503,71.089996,71.089996,-987654321
11/22/2018 3:20:00 PM,71.092499,71.097504,71.092499,71.097504,-987654321
11/22/2018 3:19:00 PM,71.084999,71.097504,71.084999,71.097504,-987654321
11/22/2018 3:18:00 PM,71.087502,71.087502,71.084999,71.087502,-987654321
11/22/2018 3:17:00 PM,71.084999,71.084999,71.082497,71.082497,-987654321
11/22/2018 3:16:00 PM,71.089996,71.089996,71.084999,71.084999,-987654321
11/22/2018 3:15:00 PM,71.084999,71.089996,71.084999,71.084999,-987654321
11/22/2018 3:14:00 PM,71.089996,71.089996,71.089996,71.089996,-987654321
11/22/2018 3:13:00 PM,71.092499,71.092499,71.084999,71.087502,-987654321
11/22/2018 3:12:00 PM,71.089996,71.095001,71.089996,71.095001,-987654321
11/22/2018 3:11:00 PM,71.089996,71.092499,71.087502,71.089996,-987654321
11/22/2018 3:10:00 PM,71.089996,71.089996,71.084999,71.089996,-987654321
11/22/2018 3:09:00 PM,71.089996,71.095001,71.087502,71.087502,-987654321
11/22/2018 3:08:00 PM,71.097504,71.097504,71.089996,71.089996,-987654321
11/22/2018 3:07:00 PM,71.095001,71.097504,71.095001,71.095001,-987654321
11/22/2018 3:06:00 PM,71.099998,71.099998,71.089996,71.089996,-987654321
11/22/2018 3:05:00 PM,71.105003,71.122498,71.095001,71.122498,-987654321
11/22/2018 3:04:00 PM,71.095001,71.105003,71.092499,71.105003,-987654321
11/22/2018 3:03:00 PM,71.102501,71.1175,71.097504,71.099998,-987654321
11/22/2018 3:02:00 PM,71.105003,71.105003,71.099998,71.102501,-987654321
11/22/2018 3:01:00 PM,71.099998,71.107498,71.099998,71.105003,-987654321
11/22/2018 3:00:00 PM,71.105003,71.110001,71.099998,71.099998,-987654321
11/22/2018 2:59:00 PM,71.089996,71.102501,71.089996,71.102501,-987654321
11/22/2018 2:58:00 PM,71.089996,71.089996,71.089996,71.089996,-987654321
11/22/2018 2:57:00 PM,71.095001,71.110001,71.087502,71.087502,-987654321
11/22/2018 2:56:00 PM,71.095001,71.097504,71.095001,71.095001,-987654321
11/22/2018 2:55:00 PM,71.084999,71.099998,71.084999,71.099998,-987654321
11/22/2018 2:54:00 PM,71.084999,71.087502,71.084999,71.087502,-987654321
11/22/2018 2:53:00 PM,71.082497,71.089996,71.082497,71.089996,-987654321
11/22/2018 2:52:00 PM,71.082497,71.082497,71.074997,71.074997,-987654321
11/22/2018 2:51:00 PM,71.089996,71.099998,71.080002,71.084999,-987654321
11/22/2018 2:50:00 PM,71.095001,71.095001,71.095001,71.095001,-987654321
11/22/2018 2:49:00 PM,71.084999,71.099998,71.084999,71.089996,-987654321
11/22/2018 2:48:00 PM,71.084999,71.089996,71.084999,71.087502,-987654321
11/22/2018 2:47:00 PM,71.080002,71.080002,71.074997,71.080002,-987654321
11/22/2018 2:46:00 PM,71.072502,71.087502,71.072502,71.074997,-987654321
11/22/2018 2:45:00 PM,71.065002,71.07,71.065002,71.07,-987654321
11/22/2018 2:44:00 PM,71.065002,71.065002,71.0625,71.0625,-987654321
11/22/2018 2:43:00 PM,71.077499,71.077499,71.07,71.07,-987654321
11/22/2018 2:42:00 PM,71.065002,71.080002,71.065002,71.080002,-987654321
11/22/2018 2:41:00 PM,71.065002,71.087502,71.065002,71.074997,-987654321
11/22/2018 2:40:00 PM,71.065002,71.082497,71.059998,71.07,-987654321
11/22/2018 2:39:00 PM,71.074997,71.077499,71.0625,71.0625,-987654321
11/22/2018 2:38:00 PM,71.084999,71.084999,71.074997,71.074997,-987654321
11/22/2018 2:37:00 PM,71.087502,71.087502,71.082497,71.084999,-987654321
11/22/2018 2:36:00 PM,71.087502,71.092499,71.082497,71.084999,-987654321
11/22/2018 2:35:00 PM,71.095001,71.097504,71.089996,71.089996,-987654321
11/22/2018 2:34:00 PM,71.089996,71.097504,71.089996,71.089996,-987654321
11/22/2018 2:33:00 PM,71.092499,71.092499,71.080002,71.089996,-987654321
11/22/2018 2:32:00 PM,71.095001,71.095001,71.092499,71.092499,-987654321
11/22/2018 2:31:00 PM,71.099998,71.099998,71.087502,71.089996,-987654321
11/22/2018 2:30:00 PM,71.107498,71.107498,71.105003,71.105003,-987654321
11/22/2018 2:29:00 PM,71.105003,71.105003,71.099998,71.099998,-987654321
11/22/2018 2:28:00 PM,71.092499,71.105003,71.092499,71.105003,-987654321
11/22/2018 2:27:00 PM,71.102501,71.105003,71.095001,71.099998,-987654321
11/22/2018 2:26:00 PM,71.102501,71.105003,71.097504,71.099998,-987654321
11/22/2018 2:25:00 PM,71.089996,71.102501,71.089996,71.099998,-987654321
11/22/2018 2:24:00 PM,71.084999,71.095001,71.084999,71.087502,-987654321
11/22/2018 2:23:00 PM,71.087502,71.087502,71.080002,71.080002,-987654321
11/22/2018 2:22:00 PM,71.084999,71.087502,71.074997,71.084999,-987654321
11/22/2018 2:21:00 PM,71.077499,71.089996,71.077499,71.084999,-987654321
11/22/2018 2:20:00 PM,71.074997,71.080002,71.067497,71.080002,-987654321
11/22/2018 2:19:00 PM,71.050003,71.077499,71.050003,71.077499,-987654321
11/22/2018 2:18:00 PM,71.052498,71.057503,71.052498,71.055,-987654321
11/22/2018 2:17:00 PM,71.050003,71.052498,71.044998,71.047501,-987654321
11/22/2018 2:16:00 PM,71.052498,71.052498,71.047501,71.047501,-987654321
11/22/2018 2:15:00 PM,71.050003,71.055,71.044998,71.055,-987654321
11/22/2018 2:14:00 PM,71.040001,71.057503,71.035004,71.057503,-987654321
11/22/2018 2:13:00 PM,71.044998,71.050003,71.032501,71.037498,-987654321
11/22/2018 2:12:00 PM,71.050003,71.057503,71.044998,71.044998,-987654321
11/22/2018 2:11:00 PM,71.047501,71.055,71.047501,71.050003,-987654321
11/22/2018 2:10:00 PM,71.044998,71.057503,71.044998,71.047501,-987654321
11/22/2018 2:09:00 PM,71.065002,71.065002,71.037498,71.044998,-987654321
11/22/2018 2:08:00 PM,71.047501,71.055,71.047501,71.052498,-987654321
11/22/2018 2:07:00 PM,71.040001,71.050003,71.040001,71.050003,-987654321
11/22/2018 2:06:00 PM,71.044998,71.050003,71.035004,71.040001,-987654321
11/22/2018 2:05:00 PM,71.057503,71.057503,71.050003,71.050003,-987654321
11/22/2018 2:04:00 PM,71.07,71.07,71.050003,71.055,-987654321
11/22/2018 2:03:00 PM,71.0625,71.065002,71.057503,71.065002,-987654321
11/22/2018 2:02:00 PM,71.065002,71.067497,71.044998,71.059998,-987654321
11/22/2018 2:01:00 PM,71.057503,71.074997,71.055,71.0625,-987654321
11/22/2018 2:00:00 PM,71.050003,71.057503,71.050003,71.057503,-987654321
11/22/2018 1:59:00 PM,71.050003,71.052498,71.050003,71.052498,-987654321
11/22/2018 1:58:00 PM,71.059998,71.065002,71.050003,71.050003,-987654321
11/22/2018 1:57:00 PM,71.055,71.067497,71.044998,71.059998,-987654321
11/22/2018 1:56:00 PM,71.040001,71.050003,71.032501,71.050003,-987654321
11/22/2018 1:55:00 PM,71.019997,71.040001,71.014999,71.040001,-987654321
11/22/2018 1:54:00 PM,71.040001,71.040001,71.014999,71.014999,-987654321
11/22/2018 1:53:00 PM,71.044998,71.050003,71.040001,71.040001,-987654321
11/22/2018 1:52:00 PM,71.037498,71.050003,71.037498,71.050003,-987654321
11/22/2018 1:51:00 PM,71.025002,71.035004,71.025002,71.032501,-987654321
11/22/2018 1:50:00 PM,71.040001,71.040001,71.019997,71.025002,-987654321
11/22/2018 1:49:00 PM,71.055,71.055,71.037498,71.037498,-987654321
11/22/2018 1:48:00 PM,71.0625,71.0625,71.044998,71.050003,-987654321
11/22/2018 1:47:00 PM,71.077499,71.077499,71.065002,71.065002,-987654321
11/22/2018 1:46:00 PM,71.089996,71.095001,71.080002,71.087502,-987654321
11/22/2018 1:45:00 PM,71.089996,71.095001,71.089996,71.089996,-987654321
11/22/2018 1:44:00 PM,71.092499,71.095001,71.087502,71.092499,-987654321
11/22/2018 1:43:00 PM,71.080002,71.089996,71.080002,71.089996,-987654321
11/22/2018 1:42:00 PM,71.074997,71.087502,71.074997,71.082497,-987654321
11/22/2018 1:41:00 PM,71.089996,71.089996,71.080002,71.080002,-987654321
11/22/2018 1:40:00 PM,71.102501,71.105003,71.084999,71.089996,-987654321
11/22/2018 1:39:00 PM,71.110001,71.1175,71.105003,71.105003,-987654321
11/22/2018 1:38:00 PM,71.125,71.125,71.105003,71.110001,-987654321
11/22/2018 1:37:00 PM,71.135002,71.142502,71.120003,71.120003,-987654321
11/22/2018 1:36:00 PM,71.129997,71.129997,71.129997,71.129997,-987654321
11/22/2018 1:35:00 PM,71.135002,71.137497,71.129997,71.129997,-987654321
11/22/2018 1:34:00 PM,71.139999,71.152496,71.1325,71.1325,-987654321
11/22/2018 1:33:00 PM,71.142502,71.150002,71.142502,71.144997,-987654321
11/22/2018 1:32:00 PM,71.139999,71.150002,71.139999,71.144997,-987654321
11/22/2018 1:31:00 PM,71.144997,71.144997,71.135002,71.135002,-987654321
11/22/2018 1:30:00 PM,71.139999,71.144997,71.135002,71.144997,-987654321
11/22/2018 1:29:00 PM,71.139999,71.139999,71.135002,71.137497,-987654321
11/22/2018 1:28:00 PM,71.127502,71.139999,71.125,71.139999,-987654321
11/22/2018 1:27:00 PM,71.1325,71.147499,71.129997,71.129997,-987654321
11/22/2018 1:26:00 PM,71.139999,71.139999,71.1325,71.1325,-987654321
11/22/2018 1:25:00 PM,71.135002,71.137497,71.135002,71.137497,-987654321
11/22/2018 1:24:00 PM,71.144997,71.157501,71.135002,71.157501,-987654321
11/22/2018 1:23:00 PM,71.147499,71.147499,71.139999,71.139999,-987654321
11/22/2018 1:22:00 PM,71.144997,71.144997,71.144997,71.144997,-987654321
11/22/2018 1:21:00 PM,71.144997,71.147499,71.144997,71.147499,-987654321
11/22/2018 1:20:00 PM,71.144997,71.144997,71.144997,71.144997,-987654321
11/22/2018 1:19:00 PM,71.154999,71.154999,71.144997,71.144997,-987654321
11/22/2018 1:18:00 PM,71.154999,71.154999,71.150002,71.150002,-987654321
11/22/2018 1:17:00 PM,71.165001,71.165001,71.160004,71.160004,-987654321
11/22/2018 1:16:00 PM,71.160004,71.160004,71.154999,71.154999,-987654321
11/22/2018 1:15:00 PM,71.154999,71.165001,71.154999,71.160004,-987654321
11/22/2018 1:14:00 PM,71.154999,71.157501,71.150002,71.154999,-987654321
11/22/2018 1:13:00 PM,71.150002,71.154999,71.150002,71.154999,-987654321
11/22/2018 1:12:00 PM,71.142502,71.150002,71.142502,71.144997,-987654321
11/22/2018 1:11:00 PM,71.144997,71.144997,71.144997,71.144997,-987654321
11/22/2018 1:10:00 PM,71.144997,71.147499,71.142502,71.147499,-987654321
